Seed: 487771846
M = [0, 1, 3]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.4291472027, -3.3078954645)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.3078954645, -3.3055119994)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.3055119994, -3.2889618744)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.2889618744, -3.2458142399)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.2450015712, -3.2103956281)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.2103956281, -3.2058245268)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.2058245268, -3.2026958364)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.2026958364, -3.1910887448)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.1910887448, -3.1631079763)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.1631079763, -3.1107288033)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.1107288033, -3.0192509426)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.0198304287, -2.9109106374)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.9109106374, -2.8487003294)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.9083063236, -2.8465733049)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.8465733049, -2.8387464674)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.8465733049, -2.8298206541)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.8298206541, -2.7952567123)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.7952567123, -2.7576669068)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.7576669068, -2.6824539363)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.6824539363, -2.6644825481)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.6644825481, -2.6205330587)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.6205330587, -2.5928339383)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.5928339383, -2.587254397)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.587254397, -2.5038828111)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.5038828111, -2.5024456569)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.5024456569, -2.4950578631)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.4950578631, -2.4656617372)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.4656617372, -2.4200115176)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.4200115176, -2.3982945535)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3982945535, -2.3864394453)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3864394453, -2.3708558363)]
